Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
ALB,Albania,USA,United States,2019,45.668,8.961,Tirana,41.3272 ,19.8186 ,ALB,primary,Washington,38.9047 ,-77.0163 ,USA,primary
ALB,Albania,AUT,Austria,2020,9.535813,0.906,Tirana,41.3272 ,19.8186 ,ALB,primary,Vienna,48.2083 ,16.3725 ,AUT,primary
ALB,Albania,CZE,Czech Republic,2020,8.938,0.99,Tirana,41.3272 ,19.8186 ,ALB,primary,Prague,50.0875 ,14.4214 ,CZE,primary
ALB,Albania,DEU,Germany,2020,38.58634,5.308,Tirana,41.3272 ,19.8186 ,ALB,primary,Berlin,52.5200 ,13.4050 ,DEU,primary
ALB,Albania,GRC,Greece,2020,4.180437,0.63,Tirana,41.3272 ,19.8186 ,ALB,primary,Athens,37.9842 ,23.7281 ,GRC,primary
ALB,Albania,HUN,Hungary,2020,3.799,0.614,Tirana,41.3272 ,19.8186 ,ALB,primary,Budapest,47.4983 ,19.0408 ,HUN,primary
ALB,Albania,ITA,Italy,2020,8.230664,0.418,Tirana,41.3272 ,19.8186 ,ALB,primary,Rome,41.8931 ,12.4828 ,ITA,primary
ALB,Albania,LUX,Luxembourg,2020,0.538762,0.04,Tirana,41.3272 ,19.8186 ,ALB,primary,Luxembourg,49.6117 ,6.1319 ,LUX,primary
ALB,Albania,MNE,Montenegro,2020,4.9471354,0.19898413,Tirana,41.3272 ,19.8186 ,ALB,primary,Podgorica,42.4414 ,19.2628 ,MNE,primary
ALB,Albania,NOR,Norway,2020,6.453106,0.378,Tirana,41.3272 ,19.8186 ,ALB,primary,Oslo,59.9133 ,10.7389 ,NOR,primary
ALB,Albania,SRB,Serbia,2020,670.6608,91.8282,Tirana,41.3272 ,19.8186 ,ALB,primary,Belgrade,44.8178 ,20.4569 ,SRB,primary
ALB,Albania,CHE,Switzerland,2020,11.514099,1.92,Tirana,41.3272 ,19.8186 ,ALB,primary,Bern,46.9480 ,7.4474 ,CHE,primary
ALB,Albania,MKD,North Macedonia,2020,278.10992,28.982746,Tirana,41.3272 ,19.8186 ,ALB,primary,Skopje,41.9961 ,21.4317 ,MKD,primary
ALB,Albania,GBR,United Kingdom,2020,6.437541,0.836,Tirana,41.3272 ,19.8186 ,ALB,primary,London,51.5072 ,-0.1275 ,GBR,primary
ALB,Albania,USA,United States,2020,140.63603,20.922468,Tirana,41.3272 ,19.8186 ,ALB,primary,Washington,38.9047 ,-77.0163 ,USA,primary
