Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
AGO,Angola,PRT,Portugal,2020,1231.3413,755.0614,Luanda,-8.8383,13.2344,AGO,primary,Lisbon,38.7122,-9.134,PRT,primary
AGO,Angola,ESP,Spain,2020,228.10664,142.793,Luanda,-8.8383,13.2344,AGO,primary,Madrid,40.4169,-3.7033,ESP,primary
AGO,Angola,USA,United States,2020,83.001,52.425,Luanda,-8.8383,13.2344,AGO,primary,Washington,38.9047,-77.0163,USA,primary
AGO,Angola,BEL,Belgium,2021,82.14726,32.36,Luanda,-8.8383,13.2344,AGO,primary,Brussels,50.8467,4.3525,BEL,primary
AGO,Angola,FRA,France,2021,0.363101,0.049,Luanda,-8.8383,13.2344,AGO,primary,Paris,48.8567,2.3522,FRA,primary
AGO,Angola,DEU,Germany,2021,33.612946,18,Luanda,-8.8383,13.2344,AGO,primary,Berlin,52.52,13.405,DEU,primary
AGO,Angola,ITA,Italy,2021,39.970478,24.543491,Luanda,-8.8383,13.2344,AGO,primary,Rome,41.8931,12.4828,ITA,primary
AGO,Angola,LBN,Lebanon,2021,24.983,18.3,Luanda,-8.8383,13.2344,AGO,primary,Beirut,33.8981,35.5058,LBN,primary
AGO,Angola,MAR,Morocco,2021,348.36188,208.18738,Luanda,-8.8383,13.2344,AGO,primary,Rabat,34.0209,-6.8416,MAR,primary
AGO,Angola,MAR,Morocco,2021,348.36188,208.18738,Luanda,-8.8383,13.2344,AGO,primary,Tifariti,26.158,-10.567,MAR,primary
AGO,Angola,NLD,Netherlands,2021,10.771559,8.46,Luanda,-8.8383,13.2344,AGO,primary,Amsterdam,52.3728,4.8936,NLD,primary
AGO,Angola,NLD,Netherlands,2021,10.771559,8.46,Luanda,-8.8383,13.2344,AGO,primary,The Hague,52.08,4.31,NLD,primary
AGO,Angola,PRT,Portugal,2021,951.7965,557.61725,Luanda,-8.8383,13.2344,AGO,primary,Lisbon,38.7122,-9.134,PRT,primary
AGO,Angola,ZAF,South Africa,2021,1.5621406,0.60020286,Luanda,-8.8383,13.2344,AGO,primary,Cape Town,-33.9253,18.4239,ZAF,primary
AGO,Angola,ZAF,South Africa,2021,1.5621406,0.60020286,Luanda,-8.8383,13.2344,AGO,primary,Pretoria,-25.7461,28.1881,ZAF,primary
AGO,Angola,ZAF,South Africa,2021,1.5621406,0.60020286,Luanda,-8.8383,13.2344,AGO,primary,Bloemfontein,-29.1167,26.2167,ZAF,primary
AGO,Angola,ESP,Spain,2021,167.20126,72,Luanda,-8.8383,13.2344,AGO,primary,Madrid,40.4169,-3.7033,ESP,primary
AGO,Angola,USA,United States,2021,45.877914,22.005964,Luanda,-8.8383,13.2344,AGO,primary,Washington,38.9047,-77.0163,USA,primary
AGO,Angola,BEL,Belgium,2022,10.551926,2.59027,Luanda,-8.8383,13.2344,AGO,primary,Brussels,50.8467,4.3525,BEL,primary
AGO,Angola,FRA,France,2022,149.79301,32.995,Luanda,-8.8383,13.2344,AGO,primary,Paris,48.8567,2.3522,FRA,primary
AGO,Angola,DEU,Germany,2022,46.50368,18,Luanda,-8.8383,13.2344,AGO,primary,Berlin,52.52,13.405,DEU,primary
AGO,Angola,KOR,"Korea, Republic",2022,0.014,0.001,Luanda,-8.8383,13.2344,AGO,primary,Seoul,37.5667,126.9833,KOR,primary
AGO,Angola,MAR,Morocco,2022,267.31433,126.08,Luanda,-8.8383,13.2344,AGO,primary,Rabat,34.0209,-6.8416,MAR,primary
AGO,Angola,MAR,Morocco,2022,267.31433,126.08,Luanda,-8.8383,13.2344,AGO,primary,Tifariti,26.158,-10.567,MAR,primary
AGO,Angola,PRT,Portugal,2022,789.00616,388.81732,Luanda,-8.8383,13.2344,AGO,primary,Lisbon,38.7122,-9.134,PRT,primary
AGO,Angola,ESP,Spain,2022,113.50924,54,Luanda,-8.8383,13.2344,AGO,primary,Madrid,40.4169,-3.7033,ESP,primary
AGO,Angola,TUR,Turkey,2022,123.757,54.001,Luanda,-8.8383,13.2344,AGO,primary,Ankara,39.93,32.85,TUR,primary
AGO,Angola,USA,United States,2022,132.22,74.298,Luanda,-8.8383,13.2344,AGO,primary,Washington,38.9047,-77.0163,USA,primary
ATG,Antigua and Barbuda,CAN,Canada,2018,11.064994,1.364,Saint John鈥檚,17.1167,-61.85,ATG,primary,Ottawa,45.4247,-75.695,CAN,primary
ATG,Antigua and Barbuda,VCT,Saint Vincent and the Grenadines,2018,1.357673,0.114,Saint John鈥檚,17.1167,-61.85,ATG,primary,Kingstown,13.1578,-61.225,VCT,primary
ATG,Antigua and Barbuda,CAN,Canada,2019,7.057295,1.254,Saint John鈥檚,17.1167,-61.85,ATG,primary,Ottawa,45.4247,-75.695,CAN,primary
ATG,Antigua and Barbuda,VCT,Saint Vincent and the Grenadines,2019,3.15953,0.081,Saint John鈥檚,17.1167,-61.85,ATG,primary,Kingstown,13.1578,-61.225,VCT,primary
ARG,Argentina,DEU,Germany,2018,610.4908,247.258,Buenos Aires,-34.6036,-58.3814,ARG,primary,Berlin,52.52,13.405,DEU,primary
ARG,Argentina,USA,United States,2018,158.563,42.975,Buenos Aires,-34.6036,-58.3814,ARG,primary,Washington,38.9047,-77.0163,USA,primary
ARG,Argentina,NOR,Norway,2019,16.016968,1.584,Buenos Aires,-34.6036,-58.3814,ARG,primary,Oslo,59.9133,10.7389,NOR,primary
ARG,Argentina,TUR,Turkey,2019,49.632,26.4,Buenos Aires,-34.6036,-58.3814,ARG,primary,Ankara,39.93,32.85,TUR,primary
